id,from,to,from_frame,to_frame
1,697,726,32,33
2,669,697,31,32
3,643,669,30,31
4,619,643,29,30
5,591,619,28,29
6,568,591,27,28
7,541,568,26,27
8,515,541,25,26
9,490,515,24,25
10,470,490,23,24
11,448,470,22,23
12,426,448,21,22
13,403,426,20,21
14,380,403,19,20
15,355,380,18,19
16,328,355,17,18
17,305,328,16,17
18,278,305,15,16
19,255,278,14,15
20,232,255,13,14
21,208,232,12,13
22,189,208,11,12
23,164,189,10,11
24,140,164,9,10
25,116,140,8,9
26,95,116,7,8
27,70,95,6,7
28,45,70,5,6
29,21,45,4,5
30,7,21,3,4
31,1,7,2,3
32,50,75,5,6
33,26,50,4,5
34,9,26,3,4
35,2,9,2,3
36,860,886,38,39
37,835,860,37,38
38,811,835,36,37
39,787,811,35,36
40,761,787,34,35
41,731,761,33,34
42,704,731,32,33
43,676,704,31,32
44,648,676,30,31
45,624,648,29,30
46,594,624,28,29
47,567,594,27,28
48,542,567,26,27
49,519,542,25,26
50,488,519,24,25
51,468,488,23,24
52,445,468,22,23
53,424,445,21,22
54,400,424,20,21
55,379,400,19,20
56,358,379,18,19
57,335,358,17,18
58,312,335,16,17
59,286,312,15,16
60,263,286,14,15
61,242,263,13,14
62,218,242,12,13
63,195,218,11,12
64,172,195,10,11
65,149,172,9,10
66,122,149,8,9
67,101,122,7,8
68,80,101,6,7
69,54,80,5,6
70,30,54,4,5
71,11,30,3,4
72,3,11,2,3
73,315,339,16,17
74,291,315,15,16
75,265,291,14,15
76,244,265,13,14
77,220,244,12,13
78,197,220,11,12
79,176,197,10,11
80,154,176,9,10
81,129,154,8,9
82,105,129,7,8
83,82,105,6,7
84,56,82,5,6
85,32,56,4,5
86,12,32,3,4
87,4,12,2,3
88,1551,1584,61,62
89,1520,1551,60,61
90,1489,1520,59,60
91,1459,1489,58,59
92,1428,1459,57,58
93,1397,1428,56,57
94,1368,1397,55,56
95,1341,1368,54,55
96,1312,1341,53,54
97,1280,1312,52,53
98,1251,1280,51,52
99,1222,1251,50,51
100,1193,1222,49,50
101,1163,1193,48,49
102,1130,1163,47,48
103,1100,1130,46,47
104,1070,1100,45,46
105,1039,1070,44,45
106,1008,1039,43,44
107,979,1008,42,43
108,950,979,41,42
109,923,950,40,41
110,895,923,39,40
111,869,895,38,39
112,844,869,37,38
113,819,844,36,37
114,795,819,35,36
115,768,795,34,35
116,740,768,33,34
117,711,740,32,33
118,683,711,31,32
119,656,683,30,31
120,631,656,29,30
121,606,631,28,29
122,580,606,27,28
123,555,580,26,27
124,529,555,25,26
125,504,529,24,25
126,479,504,23,24
127,456,479,22,23
128,433,456,21,22
129,411,433,20,21
130,387,411,19,20
131,364,387,18,19
132,340,364,17,18
133,316,340,16,17
134,290,316,15,16
135,267,290,14,15
136,245,267,13,14
137,221,245,12,13
138,198,221,11,12
139,174,198,10,11
140,152,174,9,10
141,128,152,8,9
142,104,128,7,8
143,83,104,6,7
144,57,83,5,6
145,33,57,4,5
146,13,33,3,4
147,6,13,2,3
148,1903,1938,72,73
149,1868,1903,71,72
150,1835,1868,70,71
151,1805,1835,69,70
152,1775,1805,68,69
153,1745,1775,67,68
154,1714,1745,66,67
155,1684,1714,65,66
156,1649,1684,64,65
157,1618,1649,63,64
158,1585,1618,62,63
159,1554,1585,61,62
160,1523,1554,60,61
161,1493,1523,59,60
162,1463,1493,58,59
163,1431,1463,57,58
164,1401,1431,56,57
165,1372,1401,55,56
166,1344,1372,54,55
167,1316,1344,53,54
168,1284,1316,52,53
169,1254,1284,51,52
170,1225,1254,50,51
171,1197,1225,49,50
172,1167,1197,48,49
173,1134,1167,47,48
174,1104,1134,46,47
175,1077,1104,45,46
176,1047,1077,44,45
177,1015,1047,43,44
178,988,1015,42,43
179,957,988,41,42
180,930,957,40,41
181,903,930,39,40
182,876,903,38,39
183,852,876,37,38
184,827,852,36,37
185,803,827,35,36
186,776,803,34,35
187,748,776,33,34
188,719,748,32,33
189,689,719,31,32
190,660,689,30,31
191,635,660,29,30
192,610,635,28,29
193,583,610,27,28
194,558,583,26,27
195,532,558,25,26
196,508,532,24,25
197,483,508,23,24
198,461,483,22,23
199,437,461,21,22
200,415,437,20,21
201,393,415,19,20
202,369,393,18,19
203,346,369,17,18
204,322,346,16,17
205,296,322,15,16
206,272,296,14,15
207,250,272,13,14
208,226,250,12,13
209,203,226,11,12
210,182,203,10,11
211,158,182,9,10
212,132,158,8,9
