ID,Area,XM,YM,Slice
1,535,255.853,262.808,2
2,525,300.702,507.685,2
3,371,407.414,684.133,2
4,844,786.286,752.630,2
5,409,1057.517,856.666,2
6,399,671.337,900.635,2
7,927,259.101,275.015,3
8,481,706.537,392.463,3
9,949,261.461,471.877,3
10,530,111.698,464.147,3
11,862,367.762,674.073,3
12,449,868.937,806.905,3
13,737,628.242,871.683,3
14,333,1063.770,872.590,3
15,858,1088.400,896.472,3
16,348,1321.957,1014.052,3
17,754,202.695,11.427,4
18,1572,263.765,37.436,4
19,1084,1317.172,80.494,4
20,654,90.232,115.801,4
21,1301,278.829,274.415,4
22,428,835.785,288.657,4
23,308,827.523,301.912,4
24,1534,691.126,379.387,4
25,1139,1342.668,367.137,4
26,1657,227.421,451.723,4
27,2544,121.646,450.139,4
28,1529,23.801,471.790,4
29,1045,1213.304,578.583,4
30,1702,336.865,667.773,4
31,2047,784.845,729.077,4
32,1099,849.639,791.100,4
33,1308,584.156,863.354,4
34,528,1084.345,851.129,4
35,558,1074.210,871.441,4
36,3067,1078.424,923.451,4
37,890,1155.665,934.173,4
38,935,1301.604,1005.396,4
39,1637,621.614,1009.658,4
40,655,217.433,6.135,5
41,348,317.279,6.408,5
42,1320,253.804,44.095,5
43,1006,1310.142,82.920,5
44,674,90.801,112.899,5
45,2168,285.933,281.048,5
46,316,831.639,283.652,5
47,336,828.920,301.545,5
48,1504,673.870,373.818,5
49,764,1354.671,374.552,5
50,2161,196.245,444.755,5
51,1543,12.439,474.817,5
52,1818,121.240,466.708,5
53,1522,1224.384,600.151,5
54,2047,308.970,659.888,5
55,2101,755.431,719.945,5
56,877,853.628,785.246,5
57,1494,542.164,853.473,5
58,495,1075.730,847.247,5
59,717,1079.606,872.010,5
60,2398,1052.808,942.517,5
61,788,1162.141,933.964,5
62,1141,1272.313,994.220,5
63,1511,626.548,1006.151,5
64,316,1030.468,1006.070,5
65,822,329.796,15.453,6
66,398,1382.982,40.158,6
67,967,256.096,49.138,6
68,937,1299.804,91.852,6
69,688,90.312,112.904,6
70,1092,274.623,284.565,6
71,336,836.693,286.062,6
72,331,827.983,301.914,6
73,1384,648.786,357.613,6
74,2138,1344.101,363.323,6
75,1764,177.134,426.410,6
76,337,134.687,432.375,6
77,1574,83.198,493.340,6
78,371,6.142,515.201,6
79,1546,1239.834,613.117,6
80,1773,277.459,648.878,6
81,1985,725.398,702.564,6
82,832,854.675,781.531,6
83,1733,510.703,812.015,6
84,511,1075.520,847.606,6
85,723,1079.410,872.092,6
86,2927,1029.165,950.857,6
87,732,1165.036,933.844,6
88,1146,1253.207,981.560,6
89,1485,618.835,1000.402,6
90,906,1366.842,17.043,7
91,483,348.042,26.210,7
92,1087,265.958,50.238,7
93,876,1295.977,99.632,7
94,672,91.583,112.833,7
95,2284,274.875,271.787,7
96,315,829.929,301.563,7
97,1830,636.651,345.340,7
98,1455,1301.450,365.414,7
99,1415,121.865,451.164,7
100,1509,71.335,469.117,7
101,2098,248.250,611.313,7
102,1968,1262.183,647.627,7
103,2377,709.215,651.884,7
104,1867,482.701,782.012,7
105,1022,854.581,776.448,7
106,529,1074.697,847.767,7
107,708,1080.718,872.432,7
108,688,1171.198,932.698,7
109,2504,1011.935,981.180,7
110,1181,1244.913,966.002,7
111,1661,599.707,987.231,7
112,1457,329.616,22.373,8
113,1117,271.017,51.126,8
114,883,1293.310,107.907,8
115,672,92.046,111.613,8
116,1545,275.447,264.870,8
117,307,830.910,301.021,8
118,1269,633.207,329.345,8
119,1395,1273.928,368.148,8
120,1325,43.919,418.251,8
121,1611,105.887,510.951,8
122,2110,240.009,589.507,8
123,638,677.850,589.577,8
124,2870,699.392,609.808,8
125,303,698.150,632.856,8
126,1847,1271.348,688.651,8
127,457,1272.419,727.395,8
128,1897,447.083,753.428,8
129,1360,857.467,772.580,8
130,429,1073.561,846.656,8
131,668,1079.997,870.482,8
132,677,1180.894,936.275,8
133,1106,1252.497,945.664,8
134,1538,583.333,979.293,8
135,3175,978.970,1008.880,8
136,1045,328.984,12.561,9
137,1001,278.340,59.329,9
138,684,90.607,112.162,9
139,1106,1292.191,122.195,9
140,1287,302.171,248.429,9
141,424,834.986,285.981,9
142,343,828.322,302.646,9
143,1313,627.464,319.767,9
144,1370,1238.521,354.236,9
145,821,43.740,414.639,9
146,2063,79.514,551.768,9
147,354,40.667,558.929,9
148,2798,675.979,575.537,9
149,1818,219.035,578.576,9
150,534,629.227,575.648,9
151,2249,1280.851,724.941,9
152,1954,406.269,749.443,9
153,757,1313.056,742.656,9
154,1350,846.221,758.575,9
155,334,1075.599,845.069,9
156,607,1077.269,869.859,9
157,909,1273.304,920.676,9
158,677,1184.369,940.343,9
159,1486,578.492,969.553,9
160,2459,940.830,1015.867,9
161,1069,279.467,71.878,10
162,707,88.902,112.008,10
163,1291,1285.026,147.433,10
164,808,348.679,238.483,10
165,541,837.851,289.666,10
166,1174,636.167,317.509,10
167,352,825.577,302.815,10
168,1309,1204.770,354.705,10
169,866,41.965,418.580,10
170,527,673.079,509.931,10
171,2529,647.649,546.679,10
172,2129,202.465,538.539,10
173,2062,54.472,563.643,10
174,1492,372.569,763.430,10
175,2656,1300.012,766.532,10
176,1192,825.943,761.151,10
177,835,1300.356,796.593,10
178,337,1091.340,856.423,10
179,556,1072.516,867.121,10
180,343,523.733,908.859,10
181,1007,1274.006,911.493,10
182,698,1178.387,943.692,10
183,1277,564.136,955.064,10
184,1323,899.936,1027.033,10
185,545,369.379,5.812,11
186,1067,287.252,66.028,11
187,675,91.438,111.784,11
188,1281,1287.672,174.836,11
189,807,354.167,197.937,11
190,313,829.609,300.401,11
191,832,630.894,311.928,11
192,1329,1178.298,355.228,11
193,1748,33.166,417.772,11
194,2575,637.604,513.135,11
195,2233,186.710,519.674,11
196,2363,46.221,569.248,11
197,1190,818.582,764.309,11
198,1923,368.885,783.147,11
199,2783,1320.209,800.424,11
200,546,1078.086,869.092,11
201,812,1298.267,900.257,11
202,1363,555.674,945.950,11
203,808,1183.368,941.303,11
204,561,912.186,1001.484,11
205,1005,431.429,20.051,12
206,1409,293.384,65.149,12
207,682,93.136,110.660,12
208,1139,383.777,192.755,12
209,1624,1290.894,199.550,12
210,319,825.030,282.328,12
211,1086,629.390,299.913,12
212,1652,1150.088,362.286,12
213,731,13.214,386.340,12
214,461,46.743,406.843,12
215,1222,60.718,441.206,12
216,443,637.161,444.292,12
217,2527,624.559,482.408,12
218,1684,205.631,475.217,12
219,2525,49.876,575.308,12
220,1616,799.203,767.617,12
221,2754,379.663,797.405,12
222,2597,1324.906,830.371,12
223,537,1080.710,868.658,12
224,876,1317.288,898.304,12
225,1743,546.057,955.270,12
226,883,1185.914,938.135,12
227,2043,424.134,43.742,13
228,1365,295.312,65.569,13
229,688,94.586,110.991,13
230,1306,1274.897,221.511,13
231,378,707.270,220.622,13
232,720,420.961,248.978,13
233,1639,631.472,291.205,13
234,400,822.222,285.192,13
235,313,834.941,299.733,13
236,1184,1127.152,371.289,13
237,1011,18.531,365.250,13
238,893,50.088,414.420,13
239,2814,614.388,445.330,13
240,738,112.366,425.839,13
241,375,580.321,432.393,13
242,2095,213.534,441.542,13
