ID,XM,YM,Slice
1,50.52,860.019,1
2,975.206,1017.719,1
3,619.015,249.185,2
4,485.699,281.657,2
5,674.361,329.625,2
6,61,390.905,2
7,46.446,847.449,2
8,38.272,881.037,2
9,905.108,43.124,3
10,1002.568,176.757,3
11,623.174,214.892,3
12,625.335,329.408,3
13,503.718,367.663,3
14,78.059,448.104,3
15,1067.871,457.986,3
16,378.531,512.359,3
17,655.908,519.226,3
18,948.998,685.672,3
19,190.847,761.035,3
20,60.874,827.448,3
21,56.521,902.934,3
22,921.631,66.701,4
23,1371.008,95.886,4
24,1124.839,121.707,4
25,997.295,174.769,4
26,626.605,193.951,4
27,1261.973,234.427,4
28,503.609,295.923,4
29,548.106,290.46,4
30,581.42,327.005,4
31,448.846,321.167,4
32,517.173,391.823,4
33,873.499,418.93,4
34,1279.987,417.676,4
35,1002.942,415.847,4
36,1029.644,462.652,4
37,117.312,490.476,4
38,158.44,496.31,4
39,661.579,506.26,4
40,419.016,530.938,4
41,114.482,533.434,4
42,596.684,556.371,4
43,1286.604,575.504,4
44,607.627,597.608,4
45,961.825,747.412,4
46,192.123,759.798,4
47,576.293,766.778,4
48,979.433,781.156,4
49,79.843,794.452,4
50,854.019,869.619,4
51,61.361,882.159,4
52,889.694,893.352,4
53,447.787,927.175,4
54,1200.944,950.195,4
55,921.943,100.011,5
56,1124.368,121.717,5
57,1370.261,144.59,5
58,623.991,155.108,5
59,993.562,174.913,5
60,513.155,292.433,5
61,561.27,317.029,5
62,436.648,319.426,5
63,832.35,414.056,5
64,520.981,409.652,5
65,992.236,389.193,5
66,1281.887,405.007,5
67,981.02,440.984,5
68,954.48,422.815,5
69,666.708,490.913,5
70,640.936,502.412,5
71,150.35,526.379,5
72,437.817,560.911,5
73,152.696,567.275,5
74,601.556,592.936,5
75,1273.644,592.479,5
76,612.615,634.622,5
77,208.652,748.563,5
78,168.376,763.56,5
79,570.831,763.323,5
80,96.998,791.054,5
81,976.662,792.016,5
82,1022.224,811.301,5
83,828.667,865.477,5
84,869.098,893.939,5
85,836.189,891.923,5
86,40.744,903.901,5
87,443.545,936.234,5
88,1211.268,976.357,5
89,629.302,124.542,6
90,1124.557,121.322,6
91,923.535,138.651,6
92,993.068,174.865,6
93,1373.897,187.222,6
94,513.178,294.878,6
95,447.061,308.591,6
96,567.575,312.896,6
97,789.052,396.154,6
98,938.341,380.147,6
99,527.263,400.691,6
100,1287.393,394.439,6
101,962.153,409.13,6
102,669.902,476.78,6
103,463.829,565.655,6
104,171.16,568.871,6
105,200.661,594.464,6
106,169.57,608.363,6
107,629.343,648.018,6
108,205.664,750.481,6
109,562.547,751.819,6
110,155.787,767.234,6
111,98.543,787.179,6
112,987.831,836.508,6
113,818.063,888.415,6
114,44.529,885.533,6
115,452.048,937.699,6
116,1224.468,971.28,6
117,127.099,1035.519,6
118,639.042,96.51,7
119,1124.262,122.007,7
120,937.219,156.921,7
121,986.547,169.352,7
122,1385.444,228.2,7
123,604.317,295.317,7
124,526.456,290.836,7
125,583.832,316.284,7
126,442.071,310.283,7
127,752.18,374.451,7
128,940.337,378.445,7
129,525.438,395.887,7
130,1290.963,391.579,7
131,675.761,467.783,7
132,494.59,576.964,7
133,190.641,615.264,7
134,238.59,618.153,7
135,659.278,677.919,7
136,206.329,737.34,7
137,562.051,744.415,7
138,155.36,780.838,7
139,93.098,816.4,7
140,998.879,885.297,7
141,803.788,889.448,7
142,38.357,886.755,7
143,792.576,931.348,7
144,455.24,933.973,7
145,1209.941,981.496,7
146,93.309,1035.776,7
147,678.589,68.962,8
148,1124.219,122,8
149,1006.233,160.607,8
150,947.425,189.749,8
151,962.368,225.437,8
152,637.001,303.108,8
153,547.838,303.558,8
154,944.513,295.21,8
155,613.635,309.478,8
156,916.177,301.114,8
157,438.814,313.879,8
158,939.6,325.428,8
159,724.71,358.62,8
160,1289.517,364.306,8
161,524.18,383.257,8
162,530.543,398.283,8
163,680.171,462.699,8
164,546.239,569.591,8
165,8.213,594.361,8
166,1270.316,647.777,8
167,202.147,666.325,8
168,249.992,675.074,8
169,690.665,703.538,8
170,204.009,732.804,8
171,559.114,748.935,8
172,166.504,791.685,8
173,117,843.238,8
174,30.067,871.516,8
175,75.572,871.104,8
176,787.508,886.464,8
177,796.265,923.902,8
178,1003.377,934.515,8
179,453.895,926.237,8
180,1220.93,966.869,8
181,937.969,982.933,8
182,115.15,1030.383,8
183,700.166,37.118,9
184,1124.325,121.64,9
185,996.03,162.395,9
186,1221.274,190.732,9
187,958.779,206.818,9
188,668.94,296.598,9
189,941.881,291.373,9
190,566.476,323.843,9
191,703.481,344.162,9
192,442.736,324.256,9
193,1295.058,348.712,9
194,522.957,393.954,9
195,686.598,443.983,9
196,575.236,581.235,9
197,14.324,584.617,9
198,603.803,602.002,9
199,1266.987,677.328,9
200,212.97,689.851,9
201,712.364,699.072,9
202,195.801,727.973,9
203,555.686,751.578,9
204,168.35,788.746,9
205,141.755,862.843,9
206,667.657,865.206,9
207,44.374,873.553,9
208,782.937,894.014,9
209,757.445,882.057,9
210,788.964,925.601,9
211,456.391,923.439,9
212,1014.861,955.565,9
213,1213.806,981.126,9
214,102.141,1029.516,9
215,743.777,12.504,10
216,1006.064,9.697,10
217,1124.974,121.957,10
218,1001.366,169.089,10
219,1218.192,173.694,10
220,962.554,211.965,10
221,667.056,223.099,10
222,918.503,225.428,10
223,686.269,267.003,10
224,945.735,276.483,10
225,660.889,281.039,10
226,734.058,285.024,10
227,607.06,325.887,10
228,463.263,327.519,10
229,699.357,351.203,10
230,1301.666,341.015,10
231,511.892,396.512,10
232,681.289,438.38,10
233,1386.854,556.079,10
234,23.648,575.562,10
235,604.04,582.572,10
236,754.062,686.821,10
237,730.384,696.705,10
238,1259.136,684.88,10
239,256.849,709.652,10
240,203.949,750.378,10
241,311.93,753.907,10
242,572.451,753.374,10
243,175.451,804.989,10
244,32.633,889.507,10
245,763.218,886.605,10
246,164.075,898.662,10
247,68.718,899.014,10
248,649.345,892.416,10
249,793.14,914.817,10
250,458.322,914.795,10
251,1211.106,966.293,10
252,1021.334,990.08,10
253,984.488,1001.935,10
254,95.147,1025.355,10
255,86.205,22.739,11
256,182.317,8.804,11
257,317.62,30.9,11
258,397.83,18.159,11
259,451.988,37.405,11
260,537.356,10.904,11
261,583.998,23.204,11
262,682.499,46.999,11
263,827.458,42.82,11
264,891.432,87.724,11
265,960.667,10.22,11
266,1001.377,22.159,11
267,1061.631,10.963,11
268,1096.457,179.463,11
269,1380.034,15.738,11
270,1323.465,61.11,11
271,237.493,35.05,11
272,512.396,42.107,11
273,25.071,37.84,11
274,1386.985,75.217,11
275,788.256,50.079,11
276,958.213,58.676,11
277,142.672,64.832,11
278,1019.178,60.708,11
279,367.919,57.813,11
280,1043.643,63.922,11
281,691.373,62.061,11
282,24.559,104.737,11
283,353.479,87.296,11
284,607.296,111.991,11
285,745.013,84.867,11
286,961.606,95.231,11
287,492.417,79.829,11
288,402.185,122.382,11
289,261.798,110.828,11
290,124.072,144.751,11
291,1361.343,90.56,11
292,543.325,105.546,11
293,694.384,121.553,11
294,775.737,102.893,11
295,650.076,110.33,11
296,573.148,113.369,11
297,755.893,119.707,11
298,794.705,181.302,11
299,527.131,146.44,11
300,349.778,152.866,11
301,1068.112,140.072,11
302,574.98,158.419,11
303,221.53,160.099,11
304,294.217,156.486,11
305,1386.51,151.129,11
306,898.014,167.505,11
307,432.133,196.518,11
308,182.957,161.06,11
309,1328.292,178.399,11
310,595.064,175.867,11
311,838.598,171.399,11
312,697.951,176.181,11
313,533.872,209.603,11
314,67.516,259.164,11
315,1385.259,206.216,11
316,655.965,342.693,11
317,222.246,195.246,11
318,348.216,222.359,11
319,256.884,266.985,11
320,1357.447,203.481,11
321,586.459,237.969,11
322,751.338,264.572,11
323,1305.019,257.336,11
324,451.49,214.943,11
325,147.86,237.685,11
326,1252.965,218.979,11
327,1081.889,250.824,11
328,840.358,225.462,11
329,12.038,239.208,11
330,472.583,357.513,11
331,495.753,239.924,11
332,469.286,249.105,11
333,804.043,256.702,11
334,876.483,286.317,11
335,354.044,309.854,11
336,542.74,284.425,11
337,831.974,294.75,11
338,586.258,288.633,11
339,133.789,295.506,11
340,1370.561,296.2,11
341,1300.432,356.586,11
342,167.728,306.425,11
343,1049.651,301.577,11
344,792.738,351.222,11
345,282.485,363.618,11
346,872.541,345.964,11
347,997.696,429.288,11
348,1015.272,340.312,11
349,1183.665,397.531,11
350,50.68,346.451,11
351,142.096,362.263,11
352,825.332,356.234,11
353,1071.347,368.105,11
354,1378.734,391.659,11
355,197.59,385.543,11
356,886.37,391.485,11
357,800.473,406.308,11
358,740.658,421.985,11
359,1074.158,398.127,11
360,1331.147,403.688,11
361,163.271,410.756,11
362,329.789,419.277,11
363,292.702,438.599,11
364,1055.871,424.836,11
365,893.608,417.693,11
366,219.7,522.915,11
367,1253.91,456.762,11
368,841.812,440.79,11
369,1379.06,440.544,11
370,425.849,452.697,11
371,904.927,467.379,11
372,1045.36,455.095,11
373,99.019,480.107,11
374,778.623,490.258,11
375,173.121,472.515,11
376,532.005,477.155,11
377,49.742,474.52,11
378,376.775,506.107,11
379,1309.761,485.777,11
380,1106.186,516.582,11
381,418.4,479.57,11
382,1035.787,497.795,11
383,1213.783,559.065,11
384,1337.095,568.28,11
385,284.151,589.233,11
386,473.338,496.891,11
387,527.429,520.289,11
388,36.865,510.002,11
389,921.544,552.963,11
390,1265.817,513.245,11
391,1016.091,520.018,11
392,129.761,514.412,11
393,825.246,516.555,11
394,468.265,532.979,11
395,647.011,569.116,11
396,408.594,529.897,11
397,24.557,562.623,11
398,827.86,544.05,11
399,171.131,542.549,11
400,871.044,541.985,11
401,1006.204,553.045,11
