id,from,to,from_frame,to_frame
1,79,100,7,8
2,53,79,6,7
3,33,53,5,6
4,14,33,4,5
5,2,14,3,4
6,204,227,13,14
7,181,204,12,13
8,161,181,11,12
9,143,161,10,11
10,123,143,9,10
11,98,123,8,9
12,76,98,7,8
13,50,76,6,7
14,29,50,5,6
15,9,29,4,5
16,144,162,10,11
17,124,144,9,10
18,101,124,8,9
19,80,101,7,8
20,55,80,6,7
21,34,55,5,6
22,314,335,18,19
23,296,314,17,18
24,279,296,16,17
25,260,279,15,16
26,238,260,14,15
27,211,238,13,14
28,188,211,12,13
29,167,188,11,12
30,150,167,10,11
31,128,150,9,10
32,106,128,8,9
33,86,106,7,8
34,60,86,6,7
35,41,60,5,6
36,171,192,11,12
37,152,171,10,11
38,130,152,9,10
39,107,130,8,9
40,83,107,7,8
41,58,83,6,7
42,191,214,12,13
43,172,191,11,12
44,153,172,10,11
45,131,153,9,10
46,108,131,8,9
47,87,108,7,8
48,62,87,6,7
49,149,168,10,11
50,129,149,9,10
51,105,129,8,9
52,84,105,7,8
53,246,269,15,16
54,221,246,14,15
55,199,221,13,14
56,177,199,12,13
57,156,177,11,12
58,138,156,10,11
59,117,138,9,10
60,232,254,14,15
61,206,232,13,14
62,185,206,12,13
63,164,185,11,12
64,147,164,10,11
65,125,147,9,10
66,285,301,17,18
67,266,285,16,17
68,244,266,15,16
69,218,244,14,15
70,197,218,13,14
71,176,197,12,13
72,155,176,11,12
73,134,155,10,11
74,208,234,13,14
75,184,208,12,13
76,163,184,11,12
77,146,163,10,11
78,370,386,22,23
79,355,370,21,22
80,343,355,20,21
81,321,343,19,20
82,300,321,18,19
83,284,300,17,18
84,265,284,16,17
85,242,265,15,16
86,219,242,14,15
87,196,219,13,14
88,175,196,12,13
89,375,390,22,23
90,358,375,21,22
91,344,358,20,21
92,323,344,19,20
93,303,323,18,19
94,282,303,17,18
95,267,282,16,17
96,245,267,15,16
97,222,245,14,15
98,201,222,13,14
99,178,201,12,13
100,450,466,27,28
101,439,450,26,27
102,423,439,25,26
103,409,423,24,25
104,396,409,23,24
105,380,396,22,23
106,362,380,21,22
107,349,362,20,21
108,328,349,19,20
109,306,328,18,19
110,289,306,17,18
111,270,289,16,17
112,248,270,15,16
113,228,248,14,15
114,205,228,13,14
115,182,205,12,13
116,258,278,15,16
117,235,258,14,15
118,207,235,13,14
119,183,207,12,13
120,311,331,18,19
121,292,311,17,18
122,272,292,16,17
123,249,272,15,16
124,226,249,14,15
125,309,327,18,19
126,291,309,17,18
127,276,291,16,17
128,253,276,15,16
129,231,253,14,15
130,351,364,20,21
131,330,351,19,20
132,312,330,18,19
133,295,312,17,18
134,273,295,16,17
135,255,273,15,16
136,379,394,22,23
137,359,379,21,22
138,345,359,20,21
139,324,345,19,20
140,414,431,24,25
141,399,414,23,24
142,383,399,22,23
143,367,383,21,22
144,352,367,20,21
145,336,352,19,20
146,410,427,24,25
147,397,410,23,24
148,381,397,22,23
149,363,381,21,22
150,436,448,26,27
151,422,436,25,26
152,405,422,24,25
153,384,405,23,24
154,444,456,26,27
155,433,444,25,26
156,415,433,24,25
157,401,415,23,24
158,502,520,30,31
159,488,502,29,30
160,471,488,28,29
161,454,471,27,28
162,445,454,26,27
163,432,445,25,26
164,417,432,24,25
165,400,417,23,24
166,467,485,28,29
167,453,467,27,28
168,442,453,26,27
169,428,442,25,26
170,413,428,24,25
171,492,508,30,31
172,474,492,29,30
173,457,474,28,29
174,446,457,27,28
175,435,446,26,27
176,420,435,25,26
177,487,501,29,30
178,470,487,28,29
179,455,470,27,28
180,443,455,26,27
181,429,443,25,26
182,753,774,41,42
183,730,753,40,41
184,702,730,39,40
185,667,702,38,39
186,634,667,37,38
187,610,634,36,37
188,588,610,35,36
189,569,588,34,35
190,548,569,33,34
191,528,548,32,33
192,504,528,31,32
193,489,504,30,31
194,473,489,29,30
195,458,473,28,29
196,447,458,27,28
197,554,574,33,34
198,532,554,32,33
199,511,532,31,32
200,496,511,30,31
201,480,496,29,30
202,463,480,28,29
203,451,463,27,28
204,531,551,32,33
