ID,Area,XM,YM,Slice
1,497,50.643,860.108,1
2,490,46.310,847.465,2
3,315,38.262,881.087,2
4,364,623.140,216.187,3
5,461,625.316,329.513,3
6,468,503.872,367.934,3
7,929,78.562,447.754,3
8,350,378.986,512.149,3
9,341,656.019,519.456,3
10,770,949.400,685.982,3
11,959,190.628,761.060,3
12,406,60.823,826.717,3
13,1655,923.082,66.250,4
14,952,1366.964,97.794,4
15,606,1125.254,121.155,4
16,645,996.684,174.666,4
17,1403,626.680,193.981,4
18,657,1259.896,237.555,4
19,1233,502.678,293.760,4
20,1332,580.887,326.762,4
21,1143,448.034,321.021,4
22,1491,518.420,391.699,4
23,1132,873.053,418.085,4
24,538,1279.574,416.807,4
25,885,1029.399,462.762,4
26,1964,116.809,491.274,4
27,842,660.988,506.384,4
28,1169,419.640,530.807,4
29,419,114.221,533.550,4
30,1504,596.504,556.985,4
31,619,1289.083,574.259,4
32,2414,962.311,747.338,4
33,1148,192.058,759.698,4
34,345,575.112,763.900,4
35,539,978.760,781.413,4
36,910,79.712,794.316,4
37,828,857.478,862.986,4
38,899,55.949,883.279,4
39,744,447.198,927.719,4
40,417,1201.315,949.819,4
41,1295,920.636,100.541,5
42,610,1125.054,120.111,5
43,1033,1370.372,145.093,5
44,1538,627.804,154.670,5
45,693,993.034,174.768,5
46,345,1252.764,222.958,5
47,1810,512.563,291.950,5
48,1582,442.092,313.663,5
49,929,561.238,317.072,5
50,1336,832.299,414.396,5
51,1648,527.507,405.501,5
52,523,1280.921,404.144,5
53,1296,980.640,440.851,5
54,872,666.724,491.047,5
55,1770,150.179,527.184,5
56,1288,437.872,561.179,5
57,1150,601.290,593.340,5
58,394,1273.208,592.832,5
59,1209,208.806,748.765,5
60,969,167.892,763.723,5
61,321,567.428,761.335,5
62,951,96.934,791.167,5
63,1994,976.857,792.241,5
64,728,866.641,891.466,5
65,825,443.262,936.530,5
66,1078,1210.661,976.749,5
67,635,1125.272,119.821,6
68,1424,631.209,124.443,6
69,1532,923.903,138.479,6
70,715,992.946,174.636,6
71,780,1374.153,187.706,6
72,1805,512.324,295.710,6
73,1843,445.026,310.565,6
74,1593,568.734,312.616,6
75,1526,789.366,395.168,6
76,374,940.773,379.029,6
77,946,527.052,400.785,6
78,443,1286.690,394.051,6
79,1221,962.633,408.060,6
80,997,670.519,476.993,6
81,1149,464.081,565.565,6
82,1829,172.124,568.071,6
83,384,183.268,602.224,6
84,1620,628.217,642.620,6
85,422,631.889,665.829,6
86,1460,205.366,750.062,6
87,718,564.969,750.600,6
88,1137,155.117,767.189,6
89,1176,98.263,787.855,6
90,2343,986.623,837.293,6
91,1598,820.384,888.441,6
92,910,451.859,938.055,6
93,306,1223.814,971.301,6
94,402,127.194,1036.256,6
95,1304,638.843,96.610,7
96,678,1124.901,120.463,7
97,1446,937.449,157.100,7
98,615,986.570,169.323,7
