id,date,period,subject,title,place,place_en,genre,institution
D114111451,2014-11-29,2014-11-28:2015-01-13:NA,家政学部生活福祉学科助教　専門分野　介護福祉分野の公募,助教相当,"[""京都府""]","[""Kyoto""]",社会科学:社会科学:その他,京都女子大学
D114111480,2014-11-29,2014-11-27:2015-02-28:採用者が決定次第募集を終了します,管理栄養士科（公衆栄養学分野）専任教員の募集,専門学校・小中高等の教員相当,"[""京都府""]","[""Kyoto""]",その他,京都栄養医療専門学校
D114111492,2014-11-29,2014-11-27:2015-01-08:NA,特任助教の公募（木材高度加工研究所-木質資源利用（飼料化））,助教相当,"[""秋田県""]","[""Akita""]",農学:農学:農学,秋田県立大学
D114111561,2014-11-29,NA:2014-12-10:NA,技術補助員の公募（歯学研究科）,研究・教育補助者相当,"[""北海道""]","[""Hokkaido""]",医歯薬学,北海道大学
D114111474,2014-11-29,2014-11-28:2015-03-31:適任者が決定次第、応募を締め切ります。,教務補佐員もしくは技術補佐員の公募,研究・教育補助者相当,"[""京都府""]","[""Kyoto""]",生物学:総合生物:医歯薬学,京都大学
D114111556,2014-11-29,NA:2014-12-31:NA,公衆衛生看護学（教授、准教授または講師）の公募,教授相当:准教授・常勤専任講師相当,"[""岡山県""]","[""Okayama""]",医歯薬学,山陽学園大学
D114111555,2014-11-29,NA:2015-01-27:NA,組織発達構築学研究分野（旧解剖学第一）担当助教の公募について,助教相当,"[""石川県""]","[""Ishikawa""]",医歯薬学,金沢大学
D114111305,2014-11-29,NA:2015-12-22:NA,平成２６年度「未来を拓く地方協奏プラットフォーム」コンソーシアム助教の公募（欧米文学語学・言語学）,助教相当,"[""広島県""]","[""Hiroshima""]",人文学,広島大学
D114111557,2014-11-29,2014-11-28:2014-12-19:NA,【専任教員公募】 英語教育,教授相当:准教授・常勤専任講師相当,"[""京都府""]","[""Kyoto""]",人文学:社会科学,立命館大学
D114111526,2014-11-29,2014-11-28:2014-12-22:応募順に書類選考及び面接を実施,TOEIC担当講師募集(日本人講師）,専門学校・小中高等の教員相当,"[""東京都""]","[""Tokyo""]",人文学:人文学,専門学校神田外語学院
