folder,set_uuid,uuid,stime,pos,frame,ch,slice,time,posname,x,y,z,framename,chname,slicename
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141219 T cells on pattern LAT-EGFP unsorted/01 FC1/cells_1,a25f36bd-e87a-4996-8fed-3621410d0821,de987b0a-9160-47d8-87aa-b18173d99f67,2014-12-19 17:30:34 -0800,0,0,0,0,809,2-Pos_000_000,-2036.7999999999997,-2074,0,,RICM,
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141219 T cells on pattern LAT-EGFP unsorted/01 FC1/cells_1,a25f36bd-e87a-4996-8fed-3621410d0821,d69834e2-6c05-4aff-870c-1219bafa5923,2014-12-19 17:30:35 -0800,1,0,0,0,1514,2-Pos_001_000,-1331.9999999999998,-2074,0,,RICM,
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141219 T cells on pattern LAT-EGFP unsorted/01 FC1/cells_1,a25f36bd-e87a-4996-8fed-3621410d0821,d93e8a56-8d73-4a21-84fb-97f748cb293e,2014-12-19 17:30:36 -0800,2,0,0,0,2231,2-Pos_002_000,-627.1999999999998,-2074,0,,RICM,
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141219 T cells on pattern LAT-EGFP unsorted/01 FC1/cells_1,a25f36bd-e87a-4996-8fed-3621410d0821,ef079827-4ad9-41e7-91bf-9d48142d7167,2014-12-19 17:30:36 -0800,3,0,0,0,2886,2-Pos_003_000,77.59999999999991,-2074,0,,RICM,
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141219 T cells on pattern LAT-EGFP unsorted/01 FC1/cells_1,a25f36bd-e87a-4996-8fed-3621410d0821,7fd91f1e-a43d-4b1a-a567-ae36b2a63f73,2014-12-19 17:30:37 -0800,4,0,0,0,3551,2-Pos_003_001,77.59999999999991,-1369.2,0,,RICM,
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141219 T cells on pattern LAT-EGFP unsorted/01 FC1/cells_1,a25f36bd-e87a-4996-8fed-3621410d0821,38df3726-f0e1-46d4-8bb3-1f551628e64b,2014-12-19 17:30:38 -0800,5,0,0,0,4212,2-Pos_002_001,-627.1999999999998,-1369.2,0,,RICM,
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141219 T cells on pattern LAT-EGFP unsorted/01 FC1/cells_1,a25f36bd-e87a-4996-8fed-3621410d0821,a61aa9cf-08de-41d8-ba94-6c3dd5a6dcfb,2014-12-19 17:30:38 -0800,6,0,0,0,4877,2-Pos_001_001,-1331.9999999999998,-1369.2,0,,RICM,
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141219 T cells on pattern LAT-EGFP unsorted/01 FC1/cells_1,a25f36bd-e87a-4996-8fed-3621410d0821,d565e34d-8444-4a4c-9779-60a482592bd9,2014-12-19 17:30:39 -0800,7,0,0,0,5544,2-Pos_000_001,-2036.7999999999997,-1369.2,0,,RICM,
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141219 T cells on pattern LAT-EGFP unsorted/01 FC1/cells_1,a25f36bd-e87a-4996-8fed-3621410d0821,9c3198d6-86a6-4a5f-a796-0a49b7418130,2014-12-19 17:30:40 -0800,8,0,0,0,6198,2-Pos_000_002,-2036.7999999999997,-664.4000000000001,0,,RICM,
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141219 T cells on pattern LAT-EGFP unsorted/01 FC1/cells_1,a25f36bd-e87a-4996-8fed-3621410d0821,176acb69-121e-456f-a983-5aaeada28ab7,2014-12-19 17:30:40 -0800,9,0,0,0,6829,2-Pos_001_002,-1331.9999999999998,-664.4000000000001,0,,RICM,
