folder,set_uuid,uuid,stime,pos,frame,ch,slice,time,posname,x,y,z,framename,chname,slicename
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,9cd01e0f-05de-44d8-ad91-e44e5547d745,2014-12-19 19:39:06 -0800,0,0,0,0,1629,1-Pos_000_000,-3139.874,-3097.3740000000003,0,,dia,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,359d9ff6-3196-4815-8300-ae87e9781639,2014-12-19 19:39:06 -0800,0,0,1,0,3656,1-Pos_000_000,-3139.874,-3097.3740000000003,0,,RICM,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,9c04bea6-c52d-4827-a505-c2f1ac037191,2014-12-19 19:39:06 -0800,0,0,2,0,5403,1-Pos_000_000,-3139.874,-3097.3740000000003,0,,488tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,4b763317-eae4-40aa-9683-58b9812c4dcb,2014-12-19 19:39:06 -0800,0,0,3,0,6247,1-Pos_000_000,-3139.874,-3097.3740000000003,0,,561tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,d6db2f5f-fd53-42b9-b20d-421605f84952,2014-12-19 19:39:12 -0800,1,0,0,0,8082,1-Pos_001_000,-2576.7059999999997,-3097.3740000000003,0,,dia,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,73e0d674-e1ed-4487-a82f-49fb6eef0dfd,2014-12-19 19:39:12 -0800,1,0,1,0,10110,1-Pos_001_000,-2576.7059999999997,-3097.3740000000003,0,,RICM,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,1271e082-1d28-4648-bfa5-f6d1b2d3d7f0,2014-12-19 19:39:12 -0800,1,0,2,0,11833,1-Pos_001_000,-2576.7059999999997,-3097.3740000000003,0,,488tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,8319ae45-4c86-4e8d-951a-8040954e8177,2014-12-19 19:39:12 -0800,1,0,3,0,12674,1-Pos_001_000,-2576.7059999999997,-3097.3740000000003,0,,561tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,350e0155-c39b-4f1d-88c9-f8e7c71f3f75,2014-12-19 19:39:18 -0800,2,0,0,0,14504,1-Pos_002_000,-2013.5379999999998,-3097.3740000000003,0,,dia,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,eac52764-d8d5-4a68-8d6a-27c331630ef0,2014-12-19 19:39:18 -0800,2,0,1,0,16522,1-Pos_002_000,-2013.5379999999998,-3097.3740000000003,0,,RICM,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,e139b39a-67b6-47d0-8fd8-4f1bd6c34b0f,2014-12-19 19:39:18 -0800,2,0,2,0,18251,1-Pos_002_000,-2013.5379999999998,-3097.3740000000003,0,,488tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,1ceca525-43b2-4131-ae46-fbfc8ec9dc12,2014-12-19 19:39:18 -0800,2,0,3,0,19109,1-Pos_002_000,-2013.5379999999998,-3097.3740000000003,0,,561tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,8f14af54-5126-49c2-b826-26a3f34df7aa,2014-12-19 19:39:25 -0800,3,0,0,0,20952,1-Pos_003_000,-1450.37,-3097.3740000000003,0,,dia,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,f420574f-16f9-4f0b-83b5-72c5a3272802,2014-12-19 19:39:25 -0800,3,0,1,0,22994,1-Pos_003_000,-1450.37,-3097.3740000000003,0,,RICM,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,ef752daf-c711-47ab-b6fa-28cdeca5c172,2014-12-19 19:39:25 -0800,3,0,2,0,24726,1-Pos_003_000,-1450.37,-3097.3740000000003,0,,488tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,eb558359-b412-4f46-8248-9f9a60dfa9ad,2014-12-19 19:39:25 -0800,3,0,3,0,25590,1-Pos_003_000,-1450.37,-3097.3740000000003,0,,561tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,3d12fafa-2ae6-4788-8957-91cb77199f36,2014-12-19 19:39:31 -0800,4,0,0,0,27427,1-Pos_004_000,-887.2019999999998,-3097.3740000000003,0,,dia,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,fe1f37c7-89be-491b-8cbb-c41ce2dc1b75,2014-12-19 19:39:31 -0800,4,0,1,0,29453,1-Pos_004_000,-887.2019999999998,-3097.3740000000003,0,,RICM,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,a1c1970b-cd48-4de0-9bc5-7856d127175f,2014-12-19 19:39:31 -0800,4,0,2,0,31201,1-Pos_004_000,-887.2019999999998,-3097.3740000000003,0,,488tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,c51957ab-7e85-4758-8739-5b99c5f6a24f,2014-12-19 19:39:31 -0800,4,0,3,0,32042,1-Pos_004_000,-887.2019999999998,-3097.3740000000003,0,,561tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,44977248-4c28-49a3-b245-75b750149544,2014-12-19 19:39:38 -0800,5,0,0,0,33884,1-Pos_005_000,-324.03399999999965,-3097.3740000000003,0,,dia,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,bbf2ffde-3964-474d-a45d-57bcb0852e77,2014-12-19 19:39:38 -0800,5,0,1,0,35900,1-Pos_005_000,-324.03399999999965,-3097.3740000000003,0,,RICM,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,9ef65f02-a1e7-41e4-82ba-184fe0187b1d,2014-12-19 19:39:38 -0800,5,0,2,0,37624,1-Pos_005_000,-324.03399999999965,-3097.3740000000003,0,,488tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,9813c9e3-488c-4404-bdaf-7cfbbf7ab8e6,2014-12-19 19:39:38 -0800,5,0,3,0,38467,1-Pos_005_000,-324.03399999999965,-3097.3740000000003,0,,561tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,94de333a-67d7-43fa-bd94-3b1460b9ecbe,2014-12-19 19:39:44 -0800,6,0,0,0,40289,1-Pos_006_000,239.13400000000001,-3097.3740000000003,0,,dia,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,f3fba34e-c6f2-4ed6-a5c3-5f9f0f2d1260,2014-12-19 19:39:44 -0800,6,0,1,0,42301,1-Pos_006_000,239.13400000000001,-3097.3740000000003,0,,RICM,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,a69254c4-fce3-40b2-92b9-f289ec5fa51b,2014-12-19 19:39:44 -0800,6,0,2,0,44074,1-Pos_006_000,239.13400000000001,-3097.3740000000003,0,,488tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,6a903217-61a4-4f89-b59f-2723255819d6,2014-12-19 19:39:44 -0800,6,0,3,0,44917,1-Pos_006_000,239.13400000000001,-3097.3740000000003,0,,561tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,5444c356-998d-49d7-b425-cb18a58b01da,2014-12-19 19:39:51 -0800,7,0,0,0,46787,1-Pos_007_000,802.3020000000001,-3097.3740000000003,0,,dia,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,91066aeb-69ce-4c85-a3d8-cc705829643a,2014-12-19 19:39:51 -0800,7,0,1,0,48811,1-Pos_007_000,802.3020000000001,-3097.3740000000003,0,,RICM,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,fece45ae-5106-4cf3-a1db-5eb41db72de3,2014-12-19 19:39:51 -0800,7,0,2,0,50544,1-Pos_007_000,802.3020000000001,-3097.3740000000003,0,,488tirf_100x,
