folder,set_uuid,uuid,stime,pos,frame,ch,slice,time,posname,x,y,z,framename,chname,slicename,meta_pos,meta_frame,meta_ch,meta_slice
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141227-1 Immunostaining of 20141225/03 FC4/01 3ch_1,2fd2c49e-9864-4f6d-9c5e-20215ec833bb,5e128c1f-dea6-492e-9cda-04de772a810f,2014-12-28 03:03:03 -0800,0,0,1,0,4037,1-Pos_000_000,-3139.874,-3097.3740000000003,0,,488multi,,0,0,0,0
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141227-1 Immunostaining of 20141225/03 FC4/01 3ch_1,2fd2c49e-9864-4f6d-9c5e-20215ec833bb,58192712-1346-4160-81b6-86d281132325,2014-12-28 03:03:03 -0800,0,0,2,0,4461,1-Pos_000_000,-3139.874,-3097.3740000000003,0,,561multi,,0,0,0,0
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141227-1 Immunostaining of 20141225/03 FC4/01 3ch_1,2fd2c49e-9864-4f6d-9c5e-20215ec833bb,9533dcab-5782-4170-88f5-818dee568c25,2014-12-28 03:03:03 -0800,0,0,0,0,2474,1-Pos_000_000,-3139.874,-3097.3740000000003,0,,dia,,0,0,0,0
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141227-1 Immunostaining of 20141225/03 FC4/01 3ch_1,2fd2c49e-9864-4f6d-9c5e-20215ec833bb,f2e97fe4-fcfa-4051-add7-17e725a41348,2014-12-28 03:04:40 -0800,23,0,1,0,101168,1-Pos_000_001,-3139.874,-2534.206,0,,488multi,,0,0,0,0
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141227-1 Immunostaining of 20141225/03 FC4/01 3ch_1,2fd2c49e-9864-4f6d-9c5e-20215ec833bb,758f269f-3b42-41c2-9593-67449245de08,2014-12-28 03:04:40 -0800,23,0,2,0,101575,1-Pos_000_001,-3139.874,-2534.206,0,,561multi,,0,0,0,0
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141227-1 Immunostaining of 20141225/03 FC4/01 3ch_1,2fd2c49e-9864-4f6d-9c5e-20215ec833bb,30b23e70-10d3-4ac6-a546-0afb5e2d0053,2014-12-28 03:04:40 -0800,23,0,0,0,99191,1-Pos_000_001,-3139.874,-2534.206,0,,dia,,0,0,0,0
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141227-1 Immunostaining of 20141225/03 FC4/01 3ch_1,2fd2c49e-9864-4f6d-9c5e-20215ec833bb,3ce5961b-43b2-4753-838d-045487f3a535,2014-12-28 03:04:44 -0800,24,0,1,0,105180,1-Pos_000_002,-3139.874,-1971.0380000000002,0,,488multi,,0,0,0,0
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141227-1 Immunostaining of 20141225/03 FC4/01 3ch_1,2fd2c49e-9864-4f6d-9c5e-20215ec833bb,a864ec4d-3ebc-446d-9929-89e01ea53fa9,2014-12-28 03:04:44 -0800,24,0,2,0,105672,1-Pos_000_002,-3139.874,-1971.0380000000002,0,,561multi,,0,0,0,0
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141227-1 Immunostaining of 20141225/03 FC4/01 3ch_1,2fd2c49e-9864-4f6d-9c5e-20215ec833bb,f4a57b5d-352e-4234-9b1a-6083c8cb9caf,2014-12-28 03:04:44 -0800,24,0,0,0,103599,1-Pos_000_002,-3139.874,-1971.0380000000002,0,,dia,,0,0,0,0
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141227-1 Immunostaining of 20141225/03 FC4/01 3ch_1,2fd2c49e-9864-4f6d-9c5e-20215ec833bb,3a637b4d-0fcb-4970-980f-df1c7aa37d0a,2014-12-28 03:06:20 -0800,47,0,1,0,201209,1-Pos_000_003,-3139.874,-1407.8700000000003,0,,488multi,,0,0,0,0
