folder,set_uuid,uuid,stime,pos,frame,ch,slice,time,posname,x,y,z,framename,chname,slicename,meta_pos,meta_frame,meta_ch,meta_slice
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_1,d4e344ee-9042-4934-8c16-cb0af8515388,09465770-9cf8-4ffe-bd2e-0db19fc46449,2014-11-30 16:40:05 -0800,0,0,1,0,7692,,165.1,-3280.1,-1,,561confocalEM,,0,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_1,d4e344ee-9042-4934-8c16-cb0af8515388,37d8a41d-5bfd-477d-82e2-049695a95764,2014-11-30 16:40:05 -0800,0,0,0,0,820,,165.1,-3280.1,-1,,640confocalEM,,0,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_2,85b9f6c3-492d-4ff2-a178-c96a69c831ec,f8fa5f3f-ad12-4507-ba70-9b12b0c5cdc3,2014-11-30 16:42:37 -0800,0,0,1,0,7692,,184.5,-2635.9,-1,,561confocalEM,,1,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_2,85b9f6c3-492d-4ff2-a178-c96a69c831ec,14eb2647-453b-470e-a39a-760d610a2e33,2014-11-30 16:42:37 -0800,0,0,0,0,839,,184.5,-2635.9,-1,,640confocalEM,,1,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_3,355dfbfa-7da7-414a-b50b-251b585190cf,e4666fff-e6b3-4497-8dbe-83482338dcbe,2014-11-30 16:44:19 -0800,0,0,1,0,7662,,434.1,-2283.2000000000003,-1,,561confocalEM,,2,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_3,355dfbfa-7da7-414a-b50b-251b585190cf,7de19f97-b9e0-48b3-b899-0699cbb87304,2014-11-30 16:44:19 -0800,0,0,0,0,827,,434.1,-2283.2000000000003,-1,,640confocalEM,,2,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_5,07d270e3-24e5-4ef1-8ba4-3b76ba637148,5127ee1f-bbe1-414e-98b7-f8064d0fd093,2014-11-30 16:46:45 -0800,0,0,1,0,7654,,-922.8000000000001,-1729.8,-1,,561confocalEM,,4,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_5,07d270e3-24e5-4ef1-8ba4-3b76ba637148,0f677699-25da-4b82-afab-a4616dafe10c,2014-11-30 16:46:45 -0800,0,0,0,0,822,,-922.8000000000001,-1729.8,-1,,640confocalEM,,4,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_6,2959c586-9f6e-4718-a453-2f3baf5fd176,11a18d22-f3d3-40a0-a7f7-dcf3d3208027,2014-11-30 16:49:21 -0800,0,0,1,0,7648,,-805.2,-1179.6000000000001,-1,,561confocalEM,,5,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_6,2959c586-9f6e-4718-a453-2f3baf5fd176,4a522549-ed83-4933-8522-7cf8d5ebecef,2014-11-30 16:49:21 -0800,0,0,0,0,841,,-805.2,-1179.6000000000001,-1,,640confocalEM,,5,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_1,d4e344ee-9042-4934-8c16-cb0af8515388,84836546-b87e-4082-ad81-9452b1898b4f,2014-11-30 16:40:05 -0800,0,0,1,1,8144,,165.1,-3280.1,-0.5,,561confocalEM,,0,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_1,d4e344ee-9042-4934-8c16-cb0af8515388,064d8a76-5f1b-406e-acae-d8166116e87d,2014-11-30 16:40:05 -0800,0,0,0,1,1304,,165.1,-3280.1,-0.5,,640confocalEM,,0,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_2,85b9f6c3-492d-4ff2-a178-c96a69c831ec,64943044-1740-438f-bdb6-c60960a0d96a,2014-11-30 16:42:37 -0800,0,0,1,1,8144,,184.5,-2635.9,-0.5,,561confocalEM,,1,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_2,85b9f6c3-492d-4ff2-a178-c96a69c831ec,d668f3a3-0ebc-478c-9bd4-8f1b946ea166,2014-11-30 16:42:37 -0800,0,0,0,1,1293,,184.5,-2635.9,-0.5,,640confocalEM,,1,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_3,355dfbfa-7da7-414a-b50b-251b585190cf,97fac819-2b09-4f5b-bab4-21f224b48e9a,2014-11-30 16:44:19 -0800,0,0,1,1,8114,,434.1,-2283.2000000000003,-0.5,,561confocalEM,,2,0,0,0
