ID,Area,XM,YM,Slice
1,4314,158.303,33.245,1
2,3488,818.414,29.376,1
3,926,963.883,12.056,1
4,2193,1048.001,22.105,1
5,2005,1171.385,18.808,1
6,2743,1287.219,41.703,1
7,487,711.194,51.299,1
8,1064,247.176,65.376,1
9,2947,565.47,86.478,1
10,343,656.917,69.587,1
11,2121,1218.239,101.688,1
12,3594,741.045,103.519,1
13,5951,927.065,143.7,1
14,2273,1294.672,122.938,1
15,491,56.539,111.054,1
16,6212,540.658,164.909,1
17,2398,168.165,165.263,1
18,2239,726.284,164.895,1
19,2589,1264.722,172.773,1
20,2595,76.174,185.864,1
21,402,11.236,169.535,1
22,786,779.416,190.677,1
23,2071,430.846,197.201,1
24,3190,260.702,220.613,1
25,3126,351.293,224.131,1
26,2034,22.941,222.238,1
27,3691,500.159,247.813,1
28,2202,946.98,238.826,1
29,1054,115.657,255.851,1
30,834,1348.715,256.113,1
31,2447,1266.458,271.21,1
32,700,1076.006,271.257,1
33,1334,389.552,294.751,1
34,1371,55.761,301.025,1
35,3204,675.543,315.493,1
36,2296,946.79,310.368,1
37,3716,853.504,308.372,1
38,2509,570.566,318.13,1
39,730,10.881,321.933,1
40,1261,235.79,325.772,1
41,2737,1176.59,332.53,1
42,4242,484.466,364.488,1
43,514,63.372,349.946,1
44,2926,189.223,373.781,1
45,349,554.999,377.139,1
46,339,893.264,382.294,1
47,4266,48.304,415.874,1
48,3250,955.975,408.994,1
49,2034,426.109,399.198,1
50,1540,739.141,406.173,1
51,1473,801.187,416.346,1
52,5514,1110.255,441.915,1
53,2765,594.035,444.678,1
54,2050,888.431,445.268,1
55,2451,420.504,468.225,1
56,3498,66.906,509.121,1
57,2898,670.763,498.685,1
58,350,736.951,493.16,1
59,1217,1329.869,511.641,1
60,775,1012.859,507.39,1
61,2319,249.045,524.078,1
62,623,1093.529,512.091,1
63,6068,1203.638,549.216,1
64,1146,12.68,530.243,1
65,348,880.348,509.94,1
66,1261,985.234,532.92,1
67,367,467.241,545.277,1
68,892,686.484,546.882,1
69,2482,1377.18,583.584,1
70,6178,107.535,603.66,1
71,386,552.42,561.295,1
72,814,477.982,580.673,1
73,2827,810.667,600.148,1
74,1287,24.581,596.667,1
75,1991,648.951,609.745,1
76,952,1236.232,601.913,1
77,1021,1079.046,626.001,1
78,4017,512.022,649.372,1
79,3454,430.124,636.181,1
80,2189,1309.377,641.159,1
81,8839,994.676,705.589,1
82,2079,324.353,656.745,1
83,413,710.188,647.311,1
84,3356,777.931,666.752,1
85,6786,108.682,728.19,1
86,2193,23.155,696.019,1
87,6150,1311.815,739.094,1
88,1198,571.356,721.27,1
89,612,809.031,716.219,1
90,428,414.967,718.544,1
91,435,1181.79,742.293,1
92,1208,750.397,771.108,1
93,5763,518.879,794.201,1
94,3996,353.266,788.766,1
95,2917,242.04,814.187,1
