ID,Area,XM,YM,Slice
1,344,717.012,380.663,3
2,380,1005.353,478.568,3
3,836,1218.636,14.940,4
4,842,1305.987,45.428,4
5,410,669.217,100.149,4
6,302,629.116,115.003,4
7,323,1362.159,134.243,4
8,358,1215.358,264.673,4
9,1000,1296.794,351.044,4
10,1277,1262.978,363.900,4
11,925,716.606,385.301,4
12,480,745.185,377.208,4
13,1130,1017.585,486.982,4
14,778,1053.157,482.833,4
15,449,437.395,532.126,4
16,579,135.172,809.229,4
17,386,187.117,972.290,4
18,372,324.930,959.820,4
19,454,185.097,35.185,5
20,961,1314.389,52.928,5
21,728,1260.988,43.096,5
22,455,1250.619,73.465,5
23,605,595.136,108.588,5
24,390,628.269,94.577,5
25,628,1375.927,139.908,5
26,562,1248.374,184.534,5
27,875,1200.147,231.009,5
28,396,1264.381,328.604,5
29,551,1296.897,353.480,5
30,1254,715.143,389.823,5
31,322,737.801,360.540,5
32,345,741.796,391.071,5
33,389,1056.153,504.878,5
34,346,958.084,511.434,5
35,390,442.300,518.123,5
36,464,1022.580,529.022,5
37,301,851.909,603.762,5
38,801,1094.333,792.366,5
39,591,1384.530,796.820,5
40,386,1347.215,905.946,5
41,362,692.970,903.669,5
42,307,299.396,966.904,5
43,858,1340.218,56.392,6
44,337,160.274,41.105,6
45,733,566.754,114.467,6
46,1635,1244.274,112.036,6
47,461,600.153,111.227,6
48,414,1385.548,150.901,6
49,366,1207.309,224.956,6
50,338,1275.044,383.959,6
51,566,715.836,423.495,6
52,423,744.699,411.176,6
53,359,1047.483,470.419,6
54,573,935.055,523.870,6
55,847,900.153,534.790,6
56,421,1036.823,515.160,6
57,571,1368.046,767.458,6
58,494,1239.951,801.779,6
59,356,1112.014,814.225,6
60,559,687.326,884.772,6
61,569,323.902,964.003,6
62,331,208.379,961.201,6
63,712,295.244,977.021,6
64,305,107.349,1023.316,6
65,320,1376.784,1032.156,6
66,546,153.130,35.346,7
67,893,1360.382,61.438,7
68,840,535.439,128.079,7
69,413,562.907,116.643,7
70,1757,1222.026,175.929,7
71,393,1275.187,238.887,7
72,415,728.828,291.780,7
73,444,871.347,311.874,7
74,493,700.577,303.038,7
75,336,1232.908,354.821,7
76,333,1276.908,375.182,7
77,529,710.241,430.634,7
78,575,683.276,445.345,7
79,369,1057.397,480.240,7
80,570,909.319,506.770,7
81,969,1345.021,752.745,7
82,462,1373.013,774.377,7
83,815,1274.662,787.361,7
84,953,1078.136,828.123,7
85,364,1110.607,814.635,7
86,369,700.459,857.161,7
87,476,223.113,904.250,7
88,947,1355.368,967.345,7
89,550,1373.258,999.373,7
90,659,1383.462,74.382,8
91,1003,518.863,145.548,8
92,761,542.779,135.765,8
93,509,1192.095,196.394,8
94,788,1160.994,207.374,8
95,796,745.089,266.494,8
96,480,775.333,262.823,8
97,323,1112.398,291.020,8
98,374,1281.920,352.241,8
99,345,699.854,440.384,8
100,460,1057.796,496.839,8
101,649,907.253,489.625,8
102,893,1372.502,711.833,8
103,1614,1327.009,736.373,8
104,847,1276.832,760.117,8
105,1016,1094.960,823.245,8
106,445,694.974,835.871,8
107,564,1312.174,857.137,8
108,860,239.599,888.901,8
109,798,1346.649,923.614,8
110,722,1365.953,957.860,8
111,613,304.004,981.898,8
112,577,1154.497,18.048,9
113,1295,508.505,152.310,9
114,805,532.428,145.146,9
115,710,1108.883,209.559,9
116,353,1141.143,201.809,9
117,548,801.916,229.892,9
118,785,771.629,235.845,9
119,505,1239.102,276.239,9
120,377,1111.779,290.516,9
121,381,971.776,300.211,9
122,612,1251.948,343.864,9
123,712,1229.139,375.670,9
124,438,897.562,471.735,9
125,870,1360.111,674.416,9
126,801,1353.408,707.399,9
127,587,1261.664,735.532,9
128,351,689.090,809.377,9
129,612,1120.451,833.353,9
130,709,1335.104,881.129,9
131,316,210.513,899.661,9
132,682,1360.452,919.117,9
133,365,293.955,1000.593,9
134,491,465.926,137.087,10
135,409,525.092,155.906,10
136,336,516.092,169.259,10
137,761,787.592,210.291,10
138,474,824.629,200.420,10
139,852,1066.656,235.526,10
140,536,1095.461,228.086,10
141,450,1258.544,302.398,10
142,704,1290.374,365.953,10
143,589,1246.661,368.468,10
144,663,901.342,455.452,10
145,520,1002.717,515.037,10
146,481,664.045,515.737,10
147,1764,1349.378,656.609,10
148,601,1262.891,710.097,10
149,672,1086.402,793.921,10
150,374,695.805,788.436,10
151,323,1279.392,842.825,10
152,1338,1351.719,865.037,10
153,608,253.648,881.268,10
154,517,1157.260,24.278,11
155,403,488.773,137.383,11
156,312,800.792,177.641,11
157,371,1090.204,209.966,11
158,665,1054.683,220.485,11
159,538,1272.160,299.494,11
160,768,1272.654,393.299,11
161,746,1234.513,418.728,11
162,317,887.062,454.156,11
