id,from,to,from_frame,to_frame
1,914,938,45,46
2,892,914,44,45
3,866,892,43,44
4,838,866,42,43
5,815,838,41,42
6,795,815,40,41
7,774,795,39,40
8,748,774,38,39
9,723,748,37,38
10,703,723,36,37
11,680,703,35,36
12,659,680,34,35
13,638,659,33,34
14,616,638,32,33
15,595,616,31,32
16,574,595,30,31
17,553,574,29,30
18,533,553,28,29
19,514,533,27,28
20,492,514,26,27
21,472,492,25,26
22,450,472,24,25
23,428,450,23,24
24,405,428,22,23
25,386,405,21,22
26,368,386,20,21
27,347,368,19,20
28,332,347,18,19
29,313,332,17,18
30,291,313,16,17
31,268,291,15,16
32,245,268,14,15
33,224,245,13,14
34,204,224,12,13
35,183,204,11,12
36,161,183,10,11
37,136,161,9,10
38,111,136,8,9
39,88,111,7,8
40,65,88,6,7
41,39,65,5,6
42,19,39,4,5
43,5,19,3,4
44,1,5,2,3
45,97,121,7,8
46,75,97,6,7
47,51,75,5,6
48,27,51,4,5
49,6,27,3,4
50,2,6,2,3
51,154,178,10,11
52,128,154,9,10
53,105,128,8,9
54,83,105,7,8
55,57,83,6,7
56,33,57,5,6
57,13,33,4,5
58,4,13,3,4
59,130,156,9,10
60,106,130,8,9
61,85,106,7,8
62,61,85,6,7
63,34,61,5,6
64,14,34,4,5
65,3,14,3,4
66,123,151,9,10
67,98,123,8,9
68,77,98,7,8
69,54,77,6,7
70,29,54,5,6
71,9,29,4,5
72,732,756,38,39
73,711,732,37,38
74,691,711,36,37
75,671,691,35,36
76,651,671,34,35
77,628,651,33,34
78,608,628,32,33
79,586,608,31,32
80,566,586,30,31
81,547,566,29,30
82,525,547,28,29
83,506,525,27,28
84,484,506,26,27
85,464,484,25,26
86,442,464,24,25
87,419,442,23,24
88,398,419,22,23
89,379,398,21,22
90,360,379,20,21
91,341,360,19,20
92,325,341,18,19
93,304,325,17,18
94,282,304,16,17
95,262,282,15,16
96,239,262,14,15
97,220,239,13,14
98,198,220,12,13
99,180,198,11,12
100,157,180,10,11
101,131,157,9,10
102,107,131,8,9
103,84,107,7,8
104,60,84,6,7
105,35,60,5,6
106,15,35,4,5
107,490,511,26,27
108,469,490,25,26
109,445,469,24,25
110,422,445,23,24
111,402,422,22,23
112,383,402,21,22
113,364,383,20,21
114,344,364,19,20
115,328,344,18,19
116,307,328,17,18
117,286,307,16,17
118,266,286,15,16
119,243,266,14,15
120,223,243,13,14
121,200,223,12,13
122,181,200,11,12
123,158,181,10,11
124,133,158,9,10
125,108,133,8,9
126,86,108,7,8
127,62,86,6,7
128,37,62,5,6
129,17,37,4,5
130,737,762,38,39
131,709,737,37,38
132,689,709,36,37
133,668,689,35,36
134,648,668,34,35
135,627,648,33,34
136,607,627,32,33
137,585,607,31,32
138,564,585,30,31
139,546,564,29,30
140,526,546,28,29
141,507,526,27,28
142,485,507,26,27
143,465,485,25,26
144,443,465,24,25
145,420,443,23,24
146,399,420,22,23
147,380,399,21,22
148,361,380,20,21
149,342,361,19,20
150,326,342,18,19
151,305,326,17,18
152,283,305,16,17
153,265,283,15,16
154,242,265,14,15
155,222,242,13,14
156,202,222,12,13
157,182,202,11,12
158,160,182,10,11
159,134,160,9,10
160,109,134,8,9
161,89,109,7,8
162,66,89,6,7
163,40,66,5,6
164,20,40,4,5
165,184,206,11,12
166,162,184,10,11
167,138,162,9,10
168,112,138,8,9
169,91,112,7,8
170,68,91,6,7
171,42,68,5,6
172,21,42,4,5
173,411,433,22,23
174,391,411,21,22
175,373,391,20,21
176,352,373,19,20
177,335,352,18,19
178,318,335,17,18
179,296,318,16,17
180,272,296,15,16
181,248,272,14,15
182,228,248,13,14
183,208,228,12,13
184,186,208,11,12
185,165,186,10,11
186,141,165,9,10
187,114,141,8,9
188,92,114,7,8
189,71,92,6,7
190,45,71,5,6
191,22,45,4,5
192,434,454,23,24
193,412,434,22,23
194,392,412,21,22
195,374,392,20,21
196,354,374,19,20
197,337,354,18,19
198,320,337,17,18
199,298,320,16,17
200,276,298,15,16
201,252,276,14,15
202,230,252,13,14
203,214,230,12,13
204,192,214,11,12
205,171,192,10,11
206,146,171,9,10
207,118,146,8,9
208,94,118,7,8
209,73,94,6,7
210,49,73,5,6
211,25,49,4,5
212,144,170,9,10
213,116,144,8,9
214,93,116,7,8
215,72,93,6,7
216,48,72,5,6
217,174,193,10,11
218,145,174,9,10
219,119,145,8,9
220,95,119,7,8
221,74,95,6,7
222,605,625,32,33
223,583,605,31,32
224,562,583,30,31
225,542,562,29,30
226,522,542,28,29
227,504,522,27,28
228,481,504,26,27
229,461,481,25,26
230,439,461,24,25
231,416,439,23,24
232,396,416,22,23
233,377,396,21,22
234,357,377,20,21
235,339,357,19,20
236,322,339,18,19
237,302,322,17,18
238,280,302,16,17
239,258,280,15,16
240,236,258,14,15
241,217,236,13,14
242,194,217,12,13
243,176,194,11,12
244,152,176,10,11
245,125,152,9,10
246,101,125,8,9
247,76,101,7,8
248,431,455,23,24
