from,to,name,nationality,importance
1883,1924,Kafka,Czech,1
1871,1922,Proust,France,1
1882,1941,Joyce,Ireland,1
1868,1936,Горький,Russia,2
1860,1904,Чехов,Russia,1
1818,1883,Турге́нев,Russia,1
1828,1910,Толстой,Russia,1
1821,1881,Достое́вский,Russia,1
1942,2050,Irving,USA,1
1922,2007,Vonnegut,USA,1
1832,1898,Lewis Carroll,UK,2
1897,1962,Faulkner,USA,1
1899,1961,Hemingway,USA,1
1862,1910,O.Henry,USA,2
1819,1891,Merville,USA,2
1896,1940,Fitzgerald,USA,2
1937,2050,Pynchon,USA,2
1835,1910,Twain,USA,2
1902,1968,Steinbeck,USA,3
1919,2010,Salinger,USA,3
1899,1972,Kawabata,Japan,2
1924,1993,Kobo Abe,Japan,2
1925,1970,Mishima,Japan,2
1564,1616,Shakespeare,UK,1
1775,1817,Austen,UK,1
1903,1950,Orwell,UK,1
1812,1870,Dickens,UK,3
1870,1916,Saki,UK,3
1857,1924,Conrad,UK,3
1802,1885,Hugo,France,2
1881,1936,Lu Xun,2
1861,1941,Tagore,2
1854,1900,Oscar Wilde,Ireland,2
1749,1832,Goethe,Germany,1
1759,1805,Schiller,Germany,1
1875,1926,Rilke,Germany,2
1667,1745,Jonathan Swift,UK,2
1709,1784,Samuel Johnson,UK,2
1547,1616,Cervantes,Spain,2
